бац межд.; предик.
непротивле́нец мо 5*a
сопротивле́нец мо 5*a
обновле́нец мо 5*a
зелене́ц м 5*b
переселе́нец мо 5*a
поселе́нец мо 5*a
но̀вопоселе́нец мо 5*a
первопоселе́нец мо 5*a
ссы̀льнопоселе́нец мо 5*a
выселе́нец мо 5*a
отопле́нец мо 5*a
краснознамёнец мо 5*a
йе́менец мо 5*a
бре́менец мо 5*a
коло́менец мо 5*a
тюме́нец мо 5*a
не́нец мо 5*a
гро́дненец мо 5*a
гро́зненец мо 5*a
отщепе́нец мо 5*a
антве́рпенец мо 5*a
варене́ц м 5*b
примире́нец мо 5*a
волосене́ц м 5*b
ге́ссенец мо 5*a
заусе́нец м 5*a [//__заусе́ница__]
ясене́ц м 5*b
черносо́тенец мо 5*a
птене́ц мо 5*b
мю́нхенец мо 5*a
назначе́нец мо 5*a
семире́ченец мо 5*a
чече́нец мо 5*a
ополче́нец мо 5*a
поруче́нец мо 5*a
лише́нец мо 5*a
извраще́нец мо 5*a
невозвраще́нец мо 5*a
благове́щенец мо 5*a
просвеще́нец мо 5*a
перекреще́нец мо 5*a
всепроще́нец мо 5*a
опроще́нец мо 5*a
упроще́нец мо 5*a
жнец мо 5b
рожне́ц м 5b
близне́ц мо 5b
кузне́ц мо 5b
украи́нец мо 5*a
душанби́нец мо 5*a
якоби́нец мо 5*a
куби́нец мо 5*a (_от_ Ку́ба)
челя́бинец мо 5*a
хиви́нец мо 5*a
букови́нец мо 5*a
слови́нец мо 5*a
верхови́нец мо 5*a
свине́ц м 5*b
туви́нец мо 5*a
дарги́нец мо 5*a
кале́динец мо 5*a
караганди́нец мо 5*a
кабарди́нец мо 5*a
бернарди́нец мо 5*a
сарди́нец мо 5*a
ула̀нуди́нец мо 5*a
челяди́нец мо 5*a
перуджи́нец мо 5*a
абази́нец мо 5*a
мизи́нец м 5*a
баки́нец мо 5*a
пеки́нец мо 5*a
теки́нец мо 5*a
дени́кинец мо 5*a
сахали́нец мо 5*a
ю̀жносахали́нец мо 5*a
ду́блинец мо 5*a
та́ллинец мо 5*a
йошка̀роли́нец мо 5*a
берли́нец мо 5*a
эсми́нец м 5*a
папа́нинец мо 5*a
ле́нинец мо 5*a
филиппи́нец мо 5*a
звери́нец м 5*a
тури́нец мо 5*a
мичу́ринец мо 5*a
кюри́нец мо 5*a
сине́ц мо 5*b
туапси́нец мо 5*a
абисси́нец мо 5*a
алмаати́нец мо 5*a
далмати́нец мо 5*a
дети́нец м 5*a
арети́нец мо 5*a
имерети́нец мо 5*a
кахети́нец мо 5*a
чити́нец мо 5*a
бенедикти́нец мо 5*a
я́лтинец мо 5*a
леванти́нец мо 5*a
аргенти́нец мо 5*a
флоренти́нец мо 5*a
пехоти́нец мо 5*a
мо̀топехоти́нец мо 5*a
палести́нец мо 5*a
гости́нец м 5*a
августи́нец мо 5*a
воркути́нец мо 5*a
кубачи́нец мо 5*a
разночи́нец мо 5*a
со́чинец мо 5*a
арчи́нец мо 5*a
ка́шинец мо 5*a
ремне́ц мо 5b
бо́ннец мо 5*a
лиссабо́нец мо 5*a [//__лисабо́нец__]
звоне́ц м 5*b
ливо́нец мо 5*a
черво́нец м 5*a
гоне́ц мо 5*b
араго́нец мо 5*a
патаго́нец мо 5*a
доне́ц мо 5*b
македо́нец мо 5*a
ло́ндонец мо 5*a
краснодо́нец мо 5*a
лио́нец мо 5*a
коне́ц м 5*b
наконе́ц н; вводн.
вконе́ц н
гаско́нец мо 5*a
тараско́нец мо 5*a
катало́нец мо 5*a
барсело́нец мо 5*a
цейло́нец мо 5*a
солоне́ц м 5*b
туло́нец мо 5*a
япо́нец мо 5*a
веро́нец мо 5*a
оборо́нец мо 5*a
вороне́ц м 5*b (_растение_)
саксо́нец мо 5*a
вашингто́нец мо 5*a
брето́нец мо 5*a
эсто́нец мо 5*a
марафо́нец мо 5*a
пошехо́нец мо 5*a
чухо́нец мо 5*a
кроманьо́нец мо 5*a
га́рнец м 5*a
бе́рнец мо 5*a
черне́ц мо 5b
мельбу́рнец мо 5*a
плавуне́ц мо 5*b
жу́к-плавуне́ц мо, 3b + 5*b
стригуне́ц мо 5*b
долгуне́ц м 5*b
лён-долгуне́ц м, 1*b + 5*b
рангу́нец мо 5*a
хлопуне́ц м 5*b
руне́ц мо 5*b
камеру́нец мо 5*a
струне́ц мо 5*b
туне́ц мо 5*b
орды́нец мо 5*a
кёльнец мо 5*a
юне́ц мо 5*b
се́янец м 5*a
гля́нец м 5*a
румя́нец м 5*a
троя́нец мо 5*a
бря́нец мо 5*a
багря́нец м 5*a
изъя́нец м 5*a
лассалья́нец мо 5*a
италья́нец мо 5*a
гегелья́нец мо 5*a
мла̀догегелья́нец мо 5*a
нѐогегелья́нец мо 5*a
пхенья́нец мо 5*a
вольтерья́нец мо 5*a
бое́ц мо 5*b
сваебо́ец мо 5*a
тюленебо́ец мо 5*a
каменобо́ец мо 5*a
свинобо́ец мо 5*a
китобо́ец мо 5*a (_в т. ч. о судне_)
скотобо́ец мо 5*a
молотобо́ец мо 5*a
альбиго́ец мо 5*a
хано́ец мо 5*a
слепе́ц мо 5*b
трепе́ц мо 5*b
чепе́ц м 5*b
ли́пец м 5*a
типе́ц м 5*b
щипе́ц м 5*b
скопе́ц мо 5*b
слопе́ц м 5*b
хло́пец мо 5*a
страстоте́рпец мо 5*a
спец мо, 5b//_устар._ 5a
купе́ц мо 5*b
скупе́ц мо 5*b
глупе́ц мо 5*b
су́пец м 5*a, Р2 [//__супе́ц__ мо 5*b, Р2]
тупе́ц м 5*b
сыпе́ц м 5*b
ава́рец мо 5*a
бава́рец мо 5*a
кашга́рец мо 5*a
краснода́рец мо 5*a
аджа́рец мо 5*a
балка́рец мо 5*a
мадагаска́рец мо 5*a
ларе́ц м 5*b
сама́рец мо 5*a
ве́ймарец мо 5*a
ордина́рец мо 5*a
чебокса́рец мо 5*a
ста́рец мо 5*a
буха́рец мо 5*a
швейца́рец мо 5*a
храбре́ц мо 5b
чебре́ц м 5b
багре́ц м 5b
игре́ц мо 5b
мудре́ц мо 5b
двоеве́рец мо 5*a
ти́верец мо 5*a
инове́рец мо 5*a
единове́рец мо 5*a
ганно́верец мо 5*a
старове́рец мо 5*a
венге́рец мо 5*a
ликёрец м 5*a, Р2
пе́рец м 5*a, Р2
те́рец мо 5*a
пи́терец мо 5*a
хара́ктерец м 5*a
манче́стерец мо 5*a
жрец мо 5b
заи́рец мо 5*a
каи́рец мо 5*a
сиби́рец мо 5*a
новосиби́рец мо 5*a
алжи́рец мо 5*a
пами́рец мо 5*a
влади́мирец мо 5*a
жито́мирец мо 5*a
